title,runtime_minutes,genres,averagerating,domestic_gross,foreign_gross,year,global_sales
Hitchcock,98.0,"Biography,Comedy,Drama",6.8,6000000.0,17600000.0,2012,23600000.0
Sucker Punch,110.0,"Action,Adventure,Fantasy",6.1,36400000.0,53400000.0,2011,89800000.0
The Chronicles of Narnia: The Voyage of the Dawn Treader,113.0,"Adventure,Family,Fantasy",6.3,104400000.0,311300000.0,2010,415700000.0
The Adventures of Tintin,107.0,"Action,Adventure,Animation",7.3,77600000.0,296400000.0,2011,374000000.0
Machete,105.0,"Action,Crime,Thriller",6.6,26600000.0,17500000.0,2010,44100000.0
Dear John,108.0,"Drama,Romance,War",6.3,80000000.0,35000000.0,2010,115000000.0
The Green Hornet,119.0,"Action,Comedy,Crime",5.8,98800000.0,129000000.0,2011,227800000.0
Hanna,111.0,"Action,Drama,Thriller",6.8,40300000.0,23500000.0,2011,63800000.0
The Wolf of Wall Street,180.0,"Biography,Crime,Drama",8.2,116900000.0,275100000.0,2013,392000000.0
Megamind,95.0,"Action,Animation,Comedy",7.3,148400000.0,173500000.0,2010,321900000.0
The Iron Lady,105.0,"Biography,Drama",6.4,30000000.0,84900000.0,2011,114900000.0
The Little Prince,93.0,Action,8.3,1300000.0,96200000.0,2016,97500000.0
The Little Prince,108.0,"Adventure,Animation,Drama",7.7,1300000.0,96200000.0,2016,97500000.0
Dylan Dog: Dead of Night,107.0,"Action,Comedy,Crime",5.1,1200000.0,3400000.0,2011,4600000.0
Child 44,137.0,"Crime,Drama,History",6.5,1200000.0,11700000.0,2015,12900000.0
The Runaways,106.0,"Biography,Drama,Music",6.6,3600000.0,1100000.0,2010,4700000.0
The Runaways,108.0,Adventure,9.2,3600000.0,1100000.0,2010,4700000.0
Selma,128.0,"Biography,Drama,History",7.5,52100000.0,14700000.0,2014,66800000.0
Centurion,97.0,"Action,Adventure,Drama",6.4,124000.0,6700000.0,2010,6824000.0
Certified Copy,106.0,"Drama,Romance",7.3,1400000.0,4099999.0,2011,5499999.0
Babies,79.0,Documentary,7.1,7300000.0,2200000.0,2010,9500000.0
The Way Back,133.0,"Adventure,Drama,History",7.3,2700000.0,17600000.0,2011,20300000.0
Argo,120.0,"Biography,Drama,Thriller",7.7,136000000.0,96300000.0,2012,232300000.0
Wall Street: Money Never Sleeps,133.0,Drama,6.2,52500000.0,82300000.0,2010,134800000.0
Secretariat,123.0,"Biography,Drama,Family",7.2,59700000.0,537000.0,2010,60237000.0
The Warrior's Way,100.0,"Action,Fantasy,Western",6.3,5700000.0,5400000.0,2010,11100000.0
